ID,SpinCrossoverEnergy,HomoLumoGap,IsSpinCrossover,TransitionMetal
ODUPEK,2.1207,3.0838,False,Cr
OKIHEV,3.9940,2.9444,False,Cr
PANZIN,0.3356,1.7334,True,Cr
PARCRT10,1.3703,1.8420,False,Cr
PASSOR,2.7272,3.2383,False,Cr
PICYCR,3.7723,2.1072,False,Cr
POJJIH,2.6467,3.2421,False,Cr
POLTUF,2.3994,3.0811,False,Cr
PUQVIG,1.5706,1.8711,False,Cr
QAPFAO,2.6802,3.0270,False,Cr
QEDXUS,2.3931,3.5528,False,Cr
QEDXUS01,2.4837,3.5543,False,Cr
QEGWOR,-1.1328,1.7982,False,Cr
QEHQEZ,4.3686,3.4420,False,Cr
QEHQOJ,4.3343,2.7666,False,Cr
QEMNAY,1.6810,2.1558,False,Cr
QERKUT,4.1072,3.4245,False,Cr
QOKMOS,3.4695,1.9106,False,Cr
QOKMUY,3.6231,2.5622,False,Cr
QONTIW,4.6779,3.4650,False,Cr
REQPIO,-1.1688,2.8825,False,Cr
RIHGEU,2.4121,2.0009,False,Cr
RISWIC,-0.7490,1.6913,False,Cr
RIVBON,2.8326,3.3665,False,Cr
RUQQID,2.1468,3.2039,False,Cr
RUQSON,2.4740,2.3249,False,Cr
SEKDES,1.9117,2.2689,False,Cr
SEQWEQ,4.1730,3.5286,False,Cr
SEVLIO,4.3691,3.3880,False,Cr
SEVLIO01,3.7591,3.1060,False,Cr
SIHTOT,3.8267,3.1688,False,Cr
SOFYES,-1.2435,3.4162,False,Cr
SOWZEJ,2.8091,3.2860,False,Cr
TALYIO,1.8803,3.0169,False,Cr
TAPBUH,-1.1338,1.3921,False,Cr
TAWHIJ,3.9157,3.3361,False,Cr
TCOCCR,2.8144,2.6135,False,Cr
TEGDOZ,2.7726,3.5259,False,Cr
TERFUS,-0.5797,1.3053,False,Cr
TOLCRQ,0.6844,0.1039,False,Cr
UMOFUX,3.2031,3.6881,False,Cr
VIDPUU,2.6346,1.8571,False,Cr
VIFXEN,2.8268,3.2451,False,Cr
VOJMUC,4.0549,2.6464,False,Cr
WAHDAK,2.1532,1.9490,False,Cr
WAKNOL,1.5944,3.0347,False,Cr
WALYEP,3.8930,2.9676,False,Cr
WECNIB,4.2956,2.8485,False,Cr
WEYFAI,-0.8941,0.8766,False,Cr
WEZPIA,2.5907,3.3044,False,Cr
WITDOS,1.2527,1.2850,False,Cr
WIXMAR,3.5256,3.1214,False,Cr
WOJFOT,2.7564,3.2566,False,Cr
XADCIO,3.8030,2.8493,False,Cr
XALFEV,3.9024,2.9941,False,Cr
XATCEB,2.8714,3.4156,False,Cr
XATMEL,2.7753,3.5173,False,Cr
XAXCAA,4.6399,2.9456,False,Cr
XEQFII,2.7458,3.0756,False,Cr
XOFXAR,2.3015,3.4303,False,Cr
XOWQEG,2.0314,1.9696,False,Cr
ZEGSOT,1.7815,1.3534,False,Cr
ZEGSOT01,3.6705,3.7075,False,Cr
ZIXPUU,-1.1702,3.6940,False,Cr
ZOZFIF,6.1073,3.2636,False,Cr
ZOZKUU,1.8157,2.4691,False,Cr
ZOZKUU01,1.8242,2.4686,False,Cr
JEGWIB,-0.8784,1.8853,False,Cr
LAVGAR,1.1186,0.3981,False,Cr
MANTOK,2.2025,0.5792,False,Cr
OGIYIN,0.1308,0.0000,True,Cr
PUQRIC,2.5649,1.6446,False,Cr
UKEDEU,0.7763,0.9912,False,Cr
VAGKUJ,0.1327,2.1364,True,Cr
YIGKAC,1.6084,0.3638,False,Cr
ZUXBUP01,0.4544,-0.3092,True,Cr
ZUXBUP02,-0.4803,0.0170,False,Cr
ATEWAZ,0.2079,1.0863,True,Mn
AVALAL,-1.9924,2.8366,False,Mn
AYADEJ,-1.4156,1.6985,False,Mn
AYADEJ01,-1.4169,1.6963,False,Mn
AYIREG,-1.1059,1.6087,False,Mn
BAFJEA01,3.7648,3.0451,False,Mn
BEPTIA,-0.9479,1.6520,False,Mn
BIZYIV,2.8100,1.9496,False,Mn
